"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","description"
"1",8.91245896247067e-177,4.57339850182845,0.936,0.093,1.81475489393828e-172,"0","cadps2","Ca++-dependent secretion activator 2 [Source:ZFIN;Acc:ZDB-GENE-030903-1]"
"2",1.95039382941859e-155,4.39674932951902,0.949,0.164,3.97139191546214e-151,"0","nwd2","NACHT and WD repeat domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-161213-1]"
"3",8.45728283538466e-151,3.73150167963504,0.799,0.059,1.72207193094102e-146,"0","cpne4b","copine IVb [Source:ZFIN;Acc:ZDB-GENE-060503-926]"
"4",2.81226236755171e-127,4.00334752842915,0.624,0.025,5.7263286328088e-123,"0","LRFN2","leucine rich repeat and fibronectin type III domain containing 2 [Source:NCBI gene;Acc:797812]"
"5",5.91412827242555e-126,3.03345286010209,0.662,0.036,1.20423479883129e-121,"0","cacna1ea","calcium channel, voltage-dependent, R type, alpha 1E subunit a [Source:ZFIN;Acc:ZDB-GENE-081104-526]"
"6",3.39706865102768e-123,3.52229002740613,0.859,0.147,6.91711118722257e-119,"0","gabbr1a","gamma-aminobutyric acid (GABA) B receptor, 1a [Source:ZFIN;Acc:ZDB-GENE-030904-5]"
"7",2.2282598005672e-121,2.97230657248136,0.65,0.035,4.53718260591493e-117,"0","qkib","QKI, KH domain containing, RNA binding b [Source:ZFIN;Acc:ZDB-GENE-081028-54]"
"8",5.94055428136618e-119,3.01327162376477,0.722,0.071,1.20961566277178e-114,"0","gdpd5b","glycerophosphodiester phosphodiesterase domain containing 5b [Source:ZFIN;Acc:ZDB-GENE-030131-6028]"
"9",2.8839665982728e-118,3.24673355579893,0.774,0.1,5.87233278740307e-114,"0","olfm2a","olfactomedin 2a [Source:ZFIN;Acc:ZDB-GENE-040426-2882]"
"10",9.6352064197781e-116,2.87185469201395,0.692,0.064,1.96192073119522e-111,"0","kctd8","potassium channel tetramerization domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-060117-3]"
"11",1.86567926174598e-114,2.74321735615659,0.803,0.109,3.79889611276717e-110,"0","cnih3","cornichon family AMPA receptor auxiliary protein 3 [Source:ZFIN;Acc:ZDB-GENE-041001-180]"
"12",1.80422836844568e-112,2.85328205755566,0.632,0.043,3.6737698038291e-108,"0","trpm3","transient receptor potential cation channel, subfamily M, member 3 [Source:ZFIN;Acc:ZDB-GENE-060531-95]"
"13",4.3087858761887e-109,3.45895400537373,0.829,0.153,8.77354980109543e-105,"0","ncam2","neural cell adhesion molecule 2 [Source:ZFIN;Acc:ZDB-GENE-010822-1]"
"14",1.53842820303593e-106,3.22832408533022,0.577,0.033,3.13254750702176e-102,"0","tafa5a","TAFA chemokine like family member 5a [Source:ZFIN;Acc:ZDB-GENE-041210-344]"
"15",5.08619620752571e-106,3.14650135093444,0.697,0.078,1.03565127177638e-101,"0","adgrb2","adhesion G protein-coupled receptor B2 [Source:ZFIN;Acc:ZDB-GENE-060503-573]"
"16",1.06904322677558e-105,3.08175661389816,0.748,0.101,2.17678581836044e-101,"0","asic2","acid-sensing (proton-gated) ion channel 2 [Source:NCBI gene;Acc:407669]"
"17",8.78696276663003e-105,2.74269323521135,0.534,0.023,1.78920135854121e-100,"0","syt9b","synaptotagmin IXb [Source:ZFIN;Acc:ZDB-GENE-040822-6]"
"18",7.5189783879712e-104,2.81045739414439,0.85,0.174,1.5310143793587e-99,"0","robo3","roundabout, axon guidance receptor, homolog 3 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-000209-4]"
"19",2.82843794834384e-103,2.75261166653088,0.915,0.264,5.75926535041773e-99,"0","gnao1a","guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O, a [Source:ZFIN;Acc:ZDB-GENE-040426-1757]"
"20",2.05241476677974e-102,2.62686578994971,0.91,0.232,4.17912694811691e-98,"0","celf2","cugbp, Elav-like family member 2 [Source:NCBI gene;Acc:373117]"
"21",1.92124276700284e-100,3.1197151755315,0.838,0.205,3.91203452217118e-96,"0","gria4a","glutamate receptor, ionotropic, AMPA 4a [Source:ZFIN;Acc:ZDB-GENE-020125-7]"
"22",3.24491740289229e-100,2.49869085884058,0.769,0.12,6.60730081576929e-96,"0","tcf7l2","transcription factor 7 like 2 [Source:ZFIN;Acc:ZDB-GENE-991110-8]"
"23",2.41189996998039e-98,2.63557351052967,0.65,0.074,4.91111071887407e-94,"0","syt6b","synaptotagmin VIb [Source:ZFIN;Acc:ZDB-GENE-090601-3]"
"24",1.08678809162336e-97,2.89157617273978,0.842,0.193,2.2129179121635e-93,"0","plxna3","plexin A3 [Source:NCBI gene;Acc:567422]"
"25",1.7159171739632e-97,2.63746400261454,0.568,0.041,3.49395054962386e-93,"0","dclk1b","doublecortin-like kinase 1b [Source:ZFIN;Acc:ZDB-GENE-080516-7]"
"26",4.02804798071586e-95,3.41627905857509,0.799,0.192,8.20191129833363e-91,"0","stxbp5l","syntaxin binding protein 5-like [Source:NCBI gene;Acc:567605]"
"27",1.22034151790054e-94,2.80544363064336,0.444,0.01,2.48485939874908e-90,"0","kcnh5a","potassium voltage-gated channel, subfamily H (eag-related), member 5a [Source:ZFIN;Acc:ZDB-GENE-061106-2]"
"28",1.0991159238562e-92,2.84882082366032,0.59,0.059,2.23801984415599e-88,"0","etv1","ETS variant transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-070104-1]"
"29",3.60597439328375e-89,2.90005315767501,0.551,0.048,7.34248505960437e-85,"0","lhx9","LIM homeobox 9 [Source:NCBI gene;Acc:550405]"
"30",3.86730505569687e-88,2.87405623088216,0.509,0.035,7.87460655440997e-84,"0","thsd7ba","thrombospondin, type I, domain containing 7Ba [Source:ZFIN;Acc:ZDB-GENE-070621-2]"
"31",9.37367539130556e-88,2.71778362668408,0.607,0.076,1.90866778317764e-83,"0","nrn1a","neuritin 1a [Source:NCBI gene;Acc:436780]"
"32",2.15087100314044e-87,2.18497880229631,0.53,0.041,4.37960353659456e-83,"0","phf24","PHD finger protein 24 [Source:ZFIN;Acc:ZDB-GENE-091204-154]"
"33",9.17560932782947e-87,2.77925523939319,0.808,0.222,1.86833757133264e-82,"0","rims1a","regulating synaptic membrane exocytosis 1a [Source:ZFIN;Acc:ZDB-GENE-090312-135]"
"34",1.77172972166317e-86,2.86727026697308,0.957,0.478,3.60759605925055e-82,"0","gabbr2","gamma-aminobutyric acid (GABA) B receptor, 2 [Source:ZFIN;Acc:ZDB-GENE-060503-620]"
"35",2.39210594621882e-86,2.49158857442825,0.795,0.175,4.87080612769076e-82,"0","dpp6b","dipeptidyl-peptidase 6b [Source:ZFIN;Acc:ZDB-GENE-070705-88]"
"36",6.78418214944997e-86,2.75189860288626,0.547,0.049,1.381395169271e-81,"0","dlgap1b","discs, large (Drosophila) homolog-associated protein 1b [Source:ZFIN;Acc:ZDB-GENE-091116-98]"
"37",4.83418597211421e-85,2.63489972442244,0.594,0.073,9.84336947641895e-81,"0","pcp4a","Purkinje cell protein 4a [Source:ZFIN;Acc:ZDB-GENE-031118-105]"
"38",6.78328428004079e-83,2.90996019726517,0.53,0.051,1.38121234510191e-78,"0","dgkzb","diacylglycerol kinase, zeta b [Source:ZFIN;Acc:ZDB-GENE-111104-4]"
"39",1.78163653775893e-82,2.88274143565021,0.568,0.065,3.62776831818474e-78,"0","iqsec2b","IQ motif and Sec7 domain ArfGEF 2b [Source:ZFIN;Acc:ZDB-GENE-081105-73]"
"40",4.00894127033876e-82,2.55837728417032,0.876,0.327,8.16300621466379e-78,"0","ano2b","anoctamin 2b [Source:ZFIN;Acc:ZDB-GENE-060503-62]"
"41",4.14813265644107e-80,2.16895745988803,0.449,0.025,8.4464277150453e-76,"0","tmem178","transmembrane protein 178 [Source:NCBI gene;Acc:767702]"
"42",4.73080230096463e-80,2.05588044787476,0.372,0.006,9.63285964522418e-76,"0","kcnab2b","potassium voltage-gated channel, shaker-related subfamily, beta member 2 b [Source:ZFIN;Acc:ZDB-GENE-080219-36]"
"43",1.61255142054098e-79,2.48591918538308,0.47,0.032,3.28347720250555e-75,"0","synpr","synaptoporin [Source:ZFIN;Acc:ZDB-GENE-030616-625]"
"44",2.56350658853611e-78,2.50886429335972,0.624,0.1,5.21981211557723e-74,"0","pou4f1","POU class 4 homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-000523-2]"
"45",5.13993546663974e-78,2.02729265523075,0.474,0.034,1.04659365971718e-73,"0","arhgap12b","Rho GTPase activating protein 12b [Source:ZFIN;Acc:ZDB-GENE-040426-1727]"
"46",7.61712402351926e-78,2.36589414037143,0.786,0.223,1.55099879366899e-73,"0","bean1","brain expressed, associated with NEDD4, 1 [Source:ZFIN;Acc:ZDB-GENE-141216-52]"
"47",1.29202906660616e-77,2.26017465792586,0.479,0.036,2.63082958542346e-73,"0","cntnap5b","contactin associated protein-like 5b [Source:ZFIN;Acc:ZDB-GENE-070705-209]"
"48",3.49462093145291e-77,2.24874362719906,0.466,0.033,7.11574714062442e-73,"0","b3gat2","beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S) [Source:ZFIN;Acc:ZDB-GENE-040801-191]"
"49",2.82145725367569e-76,2.54994419595923,0.795,0.224,5.74505125993444e-72,"0","gpm6ab","glycoprotein M6Ab [Source:ZFIN;Acc:ZDB-GENE-030710-8]"
"50",1.04704480339496e-75,1.95322640996512,0.436,0.026,2.13199262867282e-71,"0","CNNM1","cyclin and CBS domain divalent metal cation transport mediator 1 [Source:NCBI gene;Acc:562504]"
"51",1.85669571466695e-75,2.91078569399408,0.432,0.026,3.78060381420484e-71,"0","ca10a","carbonic anhydrase Xa [Source:ZFIN;Acc:ZDB-GENE-051030-123]"
"52",2.52953905010136e-74,2.25034137695087,0.432,0.027,5.1506474138164e-70,"0","elfn1b","extracellular leucine-rich repeat and fibronectin type III domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-080327-21]"
"53",1.8856806332439e-73,2.69819830596484,0.564,0.079,3.83962290541124e-69,"0","mgat4c","mgat4 family member C [Source:ZFIN;Acc:ZDB-GENE-091204-429]"
"54",2.39229551195214e-73,2.32609864047993,0.526,0.063,4.87119212143695e-69,"0","prkcaa","protein kinase C, alpha, a [Source:ZFIN;Acc:ZDB-GENE-050208-100]"
"55",4.28030719520392e-73,1.83695627535379,0.389,0.017,8.71556151087422e-69,"0","C1H3orf70.1",NA
"56",3.65268493429896e-72,2.21272339250513,0.671,0.129,7.43759706321954e-68,"0","si:dkeyp-72h1.1","si:dkeyp-72h1.1 [Source:ZFIN;Acc:ZDB-GENE-050208-447]"
"57",3.78375636486228e-72,2.1295624602655,0.44,0.034,7.70448471013257e-68,"0","si:ch1073-90m23.1","si:ch1073-90m23.1 [Source:ZFIN;Acc:ZDB-GENE-141212-231]"
"58",5.47834743381731e-72,2.39232296448572,0.679,0.131,1.11550110447388e-67,"0","nrxn2a","neurexin 2a [Source:ZFIN;Acc:ZDB-GENE-070206-5]"
"59",3.24107488334523e-70,2.15271615365618,0.556,0.078,6.59947667746756e-66,"0","slit2","slit homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-010306-3]"
"60",8.18094790902726e-70,2.10140431462628,0.462,0.042,1.66580461323613e-65,"0","zgc:165603","zgc:165603 [Source:ZFIN;Acc:ZDB-GENE-070620-21]"
"61",1.2532068420009e-67,2.09604096332189,0.551,0.08,2.55177977168222e-63,"0","zic3","zic family member 3 heterotaxy 1 (odd-paired homolog, Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030708-2]"
"62",2.82074934493903e-67,2.501350029049,0.679,0.153,5.74360981616486e-63,"0","celf4","CUGBP, Elav-like family member 4 [Source:NCBI gene;Acc:436835]"
"63",3.78458858620707e-67,2.19041881722958,0.573,0.09,7.70617927923484e-63,"0","vav2","vav 2 guanine nucleotide exchange factor [Source:ZFIN;Acc:ZDB-GENE-091204-420]"
"64",6.67465253016266e-67,2.22297727930152,0.517,0.073,1.35909274819172e-62,"0","cplx2","complexin 2 [Source:ZFIN;Acc:ZDB-GENE-081113-1]"
"65",7.4169090668209e-67,2.43118719414843,0.543,0.084,1.51023102418607e-62,"0","myrip","Danio rerio myosin VIIA and Rab interacting protein (myrip), mRNA. [Source:RefSeq mRNA;Acc:NM_001353925]"
"66",7.4169090668209e-67,2.43118719414843,0.543,0.084,1.51023102418607e-62,"0","myrip","myosin VIIA and Rab interacting protein [Source:NCBI gene;Acc:567049]"
"67",8.4071913033139e-67,2.16461767003965,0.517,0.07,1.71187229318078e-62,"0","atp1b3b","ATPase Na+/K+ transporting subunit beta 3b [Source:ZFIN;Acc:ZDB-GENE-001127-1]"
"68",2.67046024030302e-66,2.36998329810645,0.761,0.221,5.43759114130501e-62,"0","nlgn3a","neuroligin 3a [Source:ZFIN;Acc:ZDB-GENE-071219-1]"
"69",3.20327490884686e-66,1.77106140377315,0.453,0.043,6.52250836939399e-62,"0","rgs9b","regulator of G protein signaling 9b [Source:ZFIN;Acc:ZDB-GENE-040426-1708]"
"70",2.18426034349054e-65,2.70621320748938,0.568,0.101,4.44759091141543e-61,"0","sox6","SRY-box transcription factor 6 [Source:ZFIN;Acc:ZDB-GENE-081120-6]"
"71",2.61661461572819e-65,2.23038400599486,0.731,0.213,5.32795068054573e-61,"0","necab2","N-terminal EF-hand calcium binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-050706-167]"
"72",4.27986180802851e-65,2.02894189581061,0.718,0.176,8.71465461350766e-61,"0","elmo1","engulfment and cell motility 1 (ced-12 homolog, C. elegans) [Source:ZFIN;Acc:ZDB-GENE-040426-2069]"
